ctgov,dist,parameter1,parameter2,r
NCT00855582,gompertz,rate,rate,4.289e-02
NCT00861757,gompertz,shape,shape,3.385e-05
NCT00861757,gompertz,shape,rate,-1.311e-03
NCT00861757,gompertz,rate,shape,-1.311e-03
NCT00861757,gompertz,rate,rate,7.114e-02
NCT00915772,gompertz,shape,shape,7.615e-07
NCT00915772,gompertz,shape,rate,-1.403e-04
NCT00915772,gompertz,rate,shape,-1.403e-04
NCT00915772,gompertz,rate,rate,3.493e-02
NCT00926289,gompertz,shape,shape,9.352e-05
NCT00926289,gompertz,shape,rate,-1.795e-03
NCT00926289,gompertz,rate,shape,-1.795e-03
NCT00926289,gompertz,rate,rate,5.168e-02
NCT00954447,gompertz,shape,shape,3.398e-07
NCT00954447,gompertz,shape,rate,-5.933e-05
NCT00954447,gompertz,rate,shape,-5.933e-05
NCT00954447,gompertz,rate,rate,1.635e-02
NCT00970632,gompertz,shape,shape,2.838e-05
NCT00970632,gompertz,shape,rate,-1.324e-03
NCT00970632,gompertz,rate,shape,-1.324e-03
NCT00970632,gompertz,rate,rate,8.061e-02
NCT00975195,gompertz,shape,shape,2.070e-07
NCT00975195,gompertz,shape,rate,-3.113e-05
NCT00975195,gompertz,rate,shape,-3.113e-05
NCT00975195,gompertz,rate,rate,6.871e-03
NCT00996658,gompertz,shape,shape,1.370e-05
NCT00996658,gompertz,shape,rate,-1.092e-03
NCT00996658,gompertz,rate,shape,-1.092e-03
NCT00996658,gompertz,rate,rate,1.203e-01
NCT01064687,gompertz,shape,shape,8.948e-07
NCT01064687,gompertz,shape,rate,-1.401e-04
NCT01064687,gompertz,rate,shape,-1.401e-04
NCT01064687,gompertz,rate,rate,3.156e-02
NCT01075282,gompertz,shape,shape,5.088e-07
NCT01075282,gompertz,shape,rate,-1.120e-04
NCT01075282,gompertz,rate,shape,-1.120e-04
NCT01075282,gompertz,rate,rate,3.657e-02
NCT01084005,gompertz,shape,shape,2.048e-05
NCT01084005,gompertz,shape,rate,-1.799e-03
NCT01084005,gompertz,rate,shape,-1.799e-03
NCT01084005,gompertz,rate,rate,2.057e-01
NCT01087502,gompertz,shape,shape,1.843e-06
NCT01087502,gompertz,shape,rate,-2.984e-04
NCT01087502,gompertz,rate,shape,-2.984e-04
NCT01087502,gompertz,rate,rate,6.833e-02
NCT01126437,gompertz,shape,shape,4.533e-09
NCT01126437,gompertz,shape,rate,-1.515e-06
NCT01126437,gompertz,rate,shape,-1.515e-06
NCT01126437,gompertz,rate,rate,7.616e-04
NCT01126580,gompertz,shape,shape,6.721e-07
NCT01126580,gompertz,shape,rate,-1.004e-04
NCT01126580,gompertz,rate,shape,-1.004e-04
NCT01126580,gompertz,rate,rate,2.209e-02
NCT01131676,gompertz,shape,shape,1.143e-08
NCT01131676,gompertz,shape,rate,-9.318e-06
NCT01131676,gompertz,rate,shape,-9.318e-06
NCT01131676,gompertz,rate,rate,7.646e-03
NCT01159600,gompertz,shape,shape,4.423e-06
NCT01159600,gompertz,shape,rate,-3.067e-04
NCT01159600,gompertz,rate,shape,-3.067e-04
NCT01159600,gompertz,rate,rate,3.137e-02
NCT01164501,gompertz,shape,shape,1.084e-06
NCT01164501,gompertz,shape,rate,-1.525e-04
NCT01164501,gompertz,rate,shape,-1.525e-04
NCT01164501,gompertz,rate,rate,3.242e-02
NCT01167881,gompertz,shape,shape,5.222e-08
NCT01167881,gompertz,shape,rate,-1.613e-05
NCT01167881,gompertz,rate,shape,-1.613e-05
NCT01167881,gompertz,rate,rate,9.149e-03
NCT01177813,gompertz,shape,shape,4.577e-06
NCT01177813,gompertz,shape,rate,-3.355e-04
NCT01177813,gompertz,rate,shape,-3.355e-04
NCT01177813,gompertz,rate,rate,3.535e-02
NCT01191268,gompertz,shape,shape,6.487e-07
NCT01191268,gompertz,shape,rate,-8.683e-05
NCT01191268,gompertz,rate,shape,-8.683e-05
NCT01191268,gompertz,rate,rate,1.799e-02
NCT01191944,gompertz,shape,shape,3.077e-05
NCT01191944,gompertz,shape,rate,-1.093e-03
NCT01191944,gompertz,rate,shape,-1.093e-03
NCT01191944,gompertz,rate,rate,6.661e-02
NCT01194830,gompertz,shape,shape,9.587e-06
NCT01194830,gompertz,shape,rate,-5.496e-04
NCT01194830,gompertz,rate,shape,-5.496e-04
NCT01194830,gompertz,rate,rate,5.037e-02
NCT01204294,gompertz,shape,shape,2.690e-06
NCT01204294,gompertz,shape,rate,-3.981e-04
NCT01204294,gompertz,rate,shape,-3.981e-04
NCT01204294,gompertz,rate,rate,8.670e-02
NCT01210001,gompertz,shape,shape,1.061e-05
NCT01210001,gompertz,shape,rate,-8.185e-04
NCT01210001,gompertz,rate,shape,-8.185e-04
NCT01210001,gompertz,rate,rate,8.879e-02
NCT01214239,gompertz,shape,shape,1.534e-05
NCT01214239,gompertz,shape,rate,-1.033e-03
NCT01214239,gompertz,rate,shape,-1.033e-03
NCT01214239,gompertz,rate,rate,1.041e-01
NCT01306214,gompertz,shape,shape,1.034e-06
NCT01306214,gompertz,shape,rate,-1.842e-04
NCT01306214,gompertz,rate,shape,-1.842e-04
NCT01306214,gompertz,rate,rate,4.430e-02
NCT01335464,gompertz,shape,shape,8.043e-07
NCT01335464,gompertz,shape,rate,-1.333e-04
NCT01335464,gompertz,rate,shape,-1.333e-04
NCT01335464,gompertz,rate,rate,3.085e-02
NCT01335477,gompertz,shape,shape,7.650e-07
NCT01335477,gompertz,shape,rate,-1.236e-04
NCT01335477,gompertz,rate,shape,-1.236e-04
NCT01335477,gompertz,rate,rate,2.824e-02
NCT01368081,gompertz,shape,shape,9.477e-07
NCT01368081,gompertz,shape,rate,-1.667e-04
NCT01368081,gompertz,rate,shape,-1.667e-04
NCT01368081,gompertz,rate,rate,3.973e-02
NCT01370005,gompertz,shape,shape,4.539e-05
NCT01370005,gompertz,shape,rate,-1.978e-03
NCT01370005,gompertz,rate,shape,-1.978e-03
NCT01370005,gompertz,rate,rate,1.147e-01
NCT01422876,gompertz,shape,shape,4.926e-07
NCT01422876,gompertz,shape,rate,-7.474e-05
NCT01422876,gompertz,rate,shape,-7.474e-05
NCT01422876,gompertz,rate,rate,1.655e-02
NCT01558271,gompertz,shape,shape,2.237e-06
NCT01558271,gompertz,shape,rate,-3.074e-04
NCT01558271,gompertz,rate,shape,-3.074e-04
NCT01558271,gompertz,rate,rate,6.445e-02
NCT01621178,gompertz,shape,shape,1.059e-06
NCT01621178,gompertz,shape,rate,-1.440e-04
NCT01621178,gompertz,rate,shape,-1.440e-04
NCT01621178,gompertz,rate,rate,3.021e-02
NCT01624259,gompertz,shape,shape,9.851e-06
NCT01624259,gompertz,shape,rate,-7.833e-04
NCT01624259,gompertz,rate,shape,-7.833e-04
NCT01624259,gompertz,rate,rate,8.931e-02
NCT01694771,gompertz,shape,shape,2.047e-05
NCT01694771,gompertz,shape,rate,-9.203e-04
NCT01694771,gompertz,rate,shape,-9.203e-04
NCT01694771,gompertz,rate,rate,5.435e-02
NCT01708902,gompertz,shape,shape,8.075e-06
NCT01708902,gompertz,shape,rate,-4.461e-04
NCT01708902,gompertz,rate,shape,-4.461e-04
NCT01708902,gompertz,rate,rate,4.003e-02
NCT01719003,gompertz,shape,shape,3.738e-06
NCT01719003,gompertz,shape,rate,-2.483e-04
NCT01719003,gompertz,rate,shape,-2.483e-04
NCT01719003,gompertz,rate,rate,2.476e-02
NCT01769378,gompertz,shape,shape,1.916e-05
NCT01769378,gompertz,shape,rate,-1.231e-03
NCT01769378,gompertz,rate,shape,-1.231e-03
NCT01769378,gompertz,rate,rate,1.208e-01
NCT02152371,gompertz,shape,shape,1.302e-05
NCT02152371,gompertz,shape,rate,-9.370e-04
NCT02152371,gompertz,rate,shape,-9.370e-04
NCT02152371,gompertz,rate,rate,1.045e-01
NCT02172287,gompertz,shape,shape,4.471e-06
NCT02172287,gompertz,shape,rate,-2.479e-04
NCT02172287,gompertz,rate,shape,-2.479e-04
NCT02172287,gompertz,rate,rate,2.229e-02
NCT02172586,gompertz,shape,shape,8.608e-06
NCT02172586,gompertz,shape,rate,-6.228e-04
NCT02172586,gompertz,rate,shape,-6.228e-04
NCT02172586,gompertz,rate,rate,6.590e-02
NCT02175355,gompertz,shape,shape,1.025e-04
NCT02175355,gompertz,shape,rate,-2.241e-03
NCT02175355,gompertz,rate,shape,-2.241e-03
NCT02175355,gompertz,rate,rate,6.461e-02
NCT02177344,gompertz,shape,shape,1.165e-05
NCT02177344,gompertz,shape,rate,-4.198e-04
NCT02177344,gompertz,rate,shape,-4.198e-04
NCT02177344,gompertz,rate,rate,2.812e-02
NCT02177396,gompertz,shape,shape,1.196e-04
NCT02177396,gompertz,shape,rate,-2.931e-03
NCT02177396,gompertz,rate,shape,-2.931e-03
NCT02177396,gompertz,rate,rate,1.031e-01
NCT02177461,gompertz,shape,shape,3.835e-06
NCT02177461,gompertz,shape,rate,-2.810e-04
NCT02177461,gompertz,rate,shape,-2.810e-04
NCT02177461,gompertz,rate,rate,3.002e-02
NCT02183064,gompertz,shape,shape,4.379e-06
NCT02183064,gompertz,shape,rate,-2.441e-04
NCT02183064,gompertz,rate,shape,-2.441e-04
NCT02183064,gompertz,rate,rate,2.267e-02
NCT02200653,gompertz,shape,shape,1.965e-04
NCT02200653,gompertz,shape,rate,-5.633e-03
NCT02200653,gompertz,rate,shape,-5.633e-03
NCT02200653,gompertz,rate,rate,2.170e-01
NCT02240680,gompertz,shape,shape,9.771e-06
NCT02240680,gompertz,shape,rate,-7.715e-04
NCT02240680,gompertz,rate,shape,-7.715e-04
NCT02240680,gompertz,rate,rate,1.044e-01
NCT02489968,gompertz,shape,shape,4.830e-06
NCT02489968,gompertz,shape,rate,-5.864e-04
NCT02489968,gompertz,rate,shape,-5.864e-04
NCT02489968,gompertz,rate,rate,1.129e-01
NCT02750410,gompertz,shape,shape,5.632e-06
NCT02750410,gompertz,shape,rate,-8.438e-04
NCT02750410,gompertz,rate,shape,-8.438e-04
NCT02750410,gompertz,rate,rate,1.852e-01
NCT00034840,llogis,shape,shape,3.021e-02
NCT00034840,llogis,shape,scale,-7.352e-02
NCT00034840,llogis,scale,shape,-7.352e-02
NCT00034840,llogis,scale,scale,2.062e-01
NCT00051558,llogis,shape,shape,4.345e-03
NCT00051558,llogis,shape,scale,-3.168e-03
NCT00051558,llogis,scale,shape,-3.168e-03
NCT00051558,llogis,scale,scale,1.271e-02
NCT00125918,llogis,shape,shape,1.466e-02
NCT00125918,llogis,shape,scale,-2.267e-02
NCT00125918,llogis,scale,shape,-2.267e-02
NCT00125918,llogis,scale,scale,4.899e-02
NCT00152984,llogis,shape,shape,6.146e-02
NCT00152984,llogis,shape,scale,-2.996e-01
NCT00152984,llogis,scale,shape,-2.996e-01
NCT00152984,llogis,scale,scale,1.596e+00
NCT00153023,llogis,shape,shape,5.422e-03
NCT00153023,llogis,shape,scale,-1.309e-02
NCT00153023,llogis,scale,shape,-1.309e-02
NCT00153023,llogis,scale,scale,4.867e-02
NCT00153088,llogis,shape,shape,1.040e-02
NCT00153088,llogis,shape,scale,-2.061e-02
NCT00153088,llogis,scale,shape,-2.061e-02
NCT00153088,llogis,scale,scale,5.926e-02
NCT00168831,llogis,shape,shape,3.431e-03
NCT00168831,llogis,shape,scale,-6.310e-03
NCT00168831,llogis,scale,shape,-6.310e-03
NCT00168831,llogis,scale,scale,2.259e-02
NCT00168844,llogis,shape,shape,4.548e-03
NCT00168844,llogis,shape,scale,-1.029e-02
NCT00168844,llogis,scale,shape,-1.029e-02
NCT00168844,llogis,scale,scale,3.733e-02
NCT00168857,llogis,shape,shape,5.224e-03
NCT00168857,llogis,shape,scale,-9.586e-03
NCT00168857,llogis,scale,shape,-9.586e-03
NCT00168857,llogis,scale,scale,2.815e-02
NCT00239421,llogis,shape,shape,3.888e-02
NCT00239421,llogis,shape,scale,-1.182e-01
NCT00239421,llogis,scale,shape,-1.182e-01
NCT00239421,llogis,scale,scale,3.979e-01
NCT00274014,llogis,shape,shape,3.460e-03
NCT00274014,llogis,shape,scale,-5.161e-03
NCT00274014,llogis,scale,shape,-5.161e-03
NCT00274014,llogis,scale,scale,1.488e-02
NCT00274053,llogis,shape,shape,8.263e-03
NCT00274053,llogis,shape,scale,-1.525e-02
NCT00274053,llogis,scale,shape,-1.525e-02
NCT00274053,llogis,scale,scale,4.458e-02
NCT00274079,llogis,shape,shape,1.858e-02
NCT00274079,llogis,shape,scale,-4.644e-02
NCT00274079,llogis,scale,shape,-4.644e-02
NCT00274079,llogis,scale,scale,1.517e-01
NCT00274547,llogis,shape,shape,2.308e-03
NCT00274547,llogis,shape,scale,-4.405e-03
NCT00274547,llogis,scale,shape,-4.405e-03
NCT00274547,llogis,scale,scale,1.396e-02
NCT00274560,llogis,shape,shape,1.371e-02
NCT00274560,llogis,shape,scale,-4.140e-02
NCT00274560,llogis,scale,shape,-4.140e-02
NCT00274560,llogis,scale,scale,1.557e-01
NCT00274573,llogis,shape,shape,3.121e-03
NCT00274573,llogis,shape,scale,-6.829e-03
NCT00274573,llogis,scale,shape,-6.829e-03
NCT00274573,llogis,scale,scale,2.239e-02
NCT00274599,llogis,shape,shape,1.071e-02
NCT00274599,llogis,shape,scale,-2.697e-02
NCT00274599,llogis,scale,shape,-2.697e-02
NCT00274599,llogis,scale,scale,8.505e-02
NCT00274612,llogis,shape,shape,1.154e-02
NCT00274612,llogis,shape,scale,-2.528e-02
NCT00274612,llogis,scale,shape,-2.528e-02
NCT00274612,llogis,scale,scale,6.851e-02
NCT00277264,llogis,shape,shape,4.008e-03
NCT00277264,llogis,shape,scale,-8.283e-03
NCT00277264,llogis,scale,shape,-8.283e-03
NCT00277264,llogis,scale,scale,3.161e-02
NCT00321854,llogis,shape,shape,5.909e-03
NCT00321854,llogis,shape,scale,-7.459e-03
NCT00321854,llogis,scale,shape,-7.459e-03
NCT00321854,llogis,scale,scale,1.991e-02
NCT00384930,llogis,shape,shape,6.355e-03
NCT00384930,llogis,shape,scale,-1.228e-02
NCT00384930,llogis,scale,shape,-1.228e-02
NCT00384930,llogis,scale,scale,3.183e-02
NCT00402233,llogis,shape,shape,2.495e-02
NCT00402233,llogis,shape,scale,-6.287e-02
NCT00402233,llogis,scale,shape,-6.287e-02
NCT00402233,llogis,scale,scale,2.038e-01
NCT00466167,llogis,shape,shape,1.376e-02
NCT00466167,llogis,shape,scale,-3.976e-02
NCT00466167,llogis,scale,shape,-3.976e-02
NCT00466167,llogis,scale,scale,1.515e-01
NCT00472199,llogis,shape,shape,8.835e-03
NCT00472199,llogis,shape,scale,-1.390e-02
NCT00472199,llogis,scale,shape,-1.390e-02
NCT00472199,llogis,scale,scale,5.035e-02
NCT00479401,llogis,shape,shape,9.351e-03
NCT00479401,llogis,shape,scale,-2.436e-02
NCT00479401,llogis,scale,shape,-2.436e-02
NCT00479401,llogis,scale,scale,9.526e-02
NCT00525512,llogis,shape,shape,5.284e-03
NCT00525512,llogis,shape,scale,-7.713e-03
NCT00525512,llogis,scale,shape,-7.713e-03
NCT00525512,llogis,scale,scale,2.843e-02
NCT00563381,llogis,shape,shape,7.384e-04
NCT00563381,llogis,shape,scale,-1.872e-03
NCT00563381,llogis,scale,shape,-1.872e-03
NCT00563381,llogis,scale,scale,6.872e-03
NCT00601250,llogis,shape,shape,1.883e-02
NCT00601250,llogis,shape,scale,-5.845e-02
NCT00601250,llogis,scale,shape,-5.845e-02
NCT00601250,llogis,scale,scale,2.119e-01
NCT00602472,llogis,shape,shape,1.251e-02
NCT00602472,llogis,shape,scale,-3.276e-02
NCT00602472,llogis,scale,shape,-3.276e-02
NCT00602472,llogis,scale,scale,1.002e-01
NCT00622284,llogis,shape,shape,2.474e-03
NCT00622284,llogis,shape,scale,-4.520e-03
NCT00622284,llogis,scale,shape,-4.520e-03
NCT00622284,llogis,scale,scale,1.469e-02
NCT00641043,llogis,shape,shape,2.902e-02
NCT00641043,llogis,shape,scale,-9.928e-02
NCT00641043,llogis,scale,shape,-9.928e-02
NCT00641043,llogis,scale,scale,4.054e-01
NCT00654381,llogis,shape,shape,3.316e-02
NCT00654381,llogis,shape,scale,-3.213e-02
NCT00654381,llogis,scale,shape,-3.213e-02
NCT00654381,llogis,scale,scale,3.530e-02
NCT00734474,llogis,shape,shape,1.902e-03
NCT00734474,llogis,shape,scale,-1.534e-03
NCT00734474,llogis,scale,shape,-1.534e-03
NCT00734474,llogis,scale,scale,5.195e-03
NCT00740051,llogis,shape,shape,1.767e-02
NCT00740051,llogis,shape,scale,-2.398e-02
NCT00740051,llogis,scale,shape,-2.398e-02
NCT00740051,llogis,scale,scale,5.592e-02
NCT00772538,llogis,shape,shape,2.065e-02
NCT00772538,llogis,shape,scale,-7.425e-02
NCT00772538,llogis,scale,shape,-7.425e-02
NCT00772538,llogis,scale,scale,3.286e-01
NCT00776984,llogis,shape,shape,1.842e-02
NCT00776984,llogis,shape,scale,-3.486e-02
NCT00776984,llogis,scale,shape,-3.486e-02
NCT00776984,llogis,scale,scale,8.336e-02
NCT00782210,llogis,shape,shape,7.602e-03
NCT00782210,llogis,shape,scale,-1.649e-02
NCT00782210,llogis,scale,shape,-1.649e-02
NCT00782210,llogis,scale,scale,5.543e-02
NCT00782509,llogis,shape,shape,9.280e-03
NCT00782509,llogis,shape,scale,-2.365e-02
NCT00782509,llogis,scale,shape,-2.365e-02
NCT00782509,llogis,scale,scale,8.419e-02
NCT00793624,llogis,shape,shape,5.338e-03
NCT00793624,llogis,shape,scale,-1.213e-02
NCT00793624,llogis,scale,shape,-1.213e-02
NCT00793624,llogis,scale,scale,4.232e-02
NCT00798161,llogis,shape,shape,9.321e-03
NCT00798161,llogis,shape,scale,-2.405e-02
NCT00798161,llogis,scale,shape,-2.405e-02
NCT00798161,llogis,scale,scale,8.087e-02
NCT00800683,llogis,shape,shape,2.553e-02
NCT00800683,llogis,shape,scale,-3.702e-02
NCT00800683,llogis,scale,shape,-3.702e-02
NCT00800683,llogis,scale,scale,1.083e-01
NCT00848081,llogis,shape,shape,2.593e-02
NCT00848081,llogis,shape,scale,-4.926e-02
NCT00848081,llogis,scale,shape,-4.926e-02
NCT00848081,llogis,scale,scale,1.186e-01
NCT00855582,llogis,shape,shape,1.327e-02
NCT00855582,llogis,shape,scale,-2.950e-02
NCT00855582,llogis,scale,shape,-2.950e-02
NCT00855582,llogis,scale,scale,8.361e-02
NCT00861757,llogis,shape,shape,1.938e-02
NCT00861757,llogis,shape,scale,-4.337e-02
NCT00861757,llogis,scale,shape,-4.337e-02
NCT00861757,llogis,scale,scale,1.150e-01
NCT00915772,llogis,shape,shape,8.309e-03
NCT00915772,llogis,shape,scale,-1.239e-02
NCT00915772,llogis,scale,shape,-1.239e-02
NCT00915772,llogis,scale,scale,2.877e-02
NCT00926289,llogis,shape,shape,1.656e-02
NCT00926289,llogis,shape,scale,-5.104e-02
NCT00926289,llogis,scale,shape,-5.104e-02
NCT00926289,llogis,scale,scale,1.814e-01
NCT00954447,llogis,shape,shape,5.467e-03
NCT00954447,llogis,shape,scale,-1.352e-02
NCT00954447,llogis,scale,shape,-1.352e-02
NCT00954447,llogis,scale,scale,4.457e-02
NCT00970632,llogis,shape,shape,1.771e-02
NCT00970632,llogis,shape,scale,-3.096e-02
NCT00970632,llogis,scale,shape,-3.096e-02
NCT00970632,llogis,scale,scale,6.726e-02
NCT00975195,llogis,shape,shape,1.986e-03
NCT00975195,llogis,shape,scale,-3.705e-03
NCT00975195,llogis,scale,shape,-3.705e-03
NCT00975195,llogis,scale,scale,1.048e-02
NCT00996658,llogis,shape,shape,3.154e-02
NCT00996658,llogis,shape,scale,-6.607e-02
NCT00996658,llogis,scale,shape,-6.607e-02
NCT00996658,llogis,scale,scale,1.737e-01
NCT01064687,llogis,shape,shape,9.076e-03
NCT01064687,llogis,shape,scale,-2.357e-02
NCT01064687,llogis,scale,shape,-2.357e-02
NCT01064687,llogis,scale,scale,7.636e-02
NCT01075282,llogis,shape,shape,1.126e-02
NCT01075282,llogis,shape,scale,-3.573e-02
NCT01075282,llogis,scale,shape,-3.573e-02
NCT01075282,llogis,scale,scale,1.408e-01
NCT01084005,llogis,shape,shape,4.553e-02
NCT01084005,llogis,shape,scale,-9.695e-02
NCT01084005,llogis,scale,shape,-9.695e-02
NCT01084005,llogis,scale,scale,2.475e-01
NCT01087502,llogis,shape,shape,1.804e-02
NCT01087502,llogis,shape,scale,-2.821e-02
NCT01087502,llogis,scale,shape,-2.821e-02
NCT01087502,llogis,scale,scale,7.289e-02
NCT01126437,llogis,shape,shape,2.281e-04
NCT01126437,llogis,shape,scale,-4.301e-04
NCT01126437,llogis,scale,shape,-4.301e-04
NCT01126437,llogis,scale,scale,1.426e-03
NCT01126580,llogis,shape,shape,6.457e-03
NCT01126580,llogis,shape,scale,-1.241e-02
NCT01126580,llogis,scale,shape,-1.241e-02
NCT01126580,llogis,scale,scale,3.526e-02
NCT01131676,llogis,shape,shape,1.659e-03
NCT01131676,llogis,shape,scale,-6.723e-04
NCT01131676,llogis,scale,shape,-6.723e-04
NCT01131676,llogis,scale,scale,2.216e-03
NCT01159600,llogis,shape,shape,9.711e-03
NCT01159600,llogis,shape,scale,-3.236e-02
NCT01159600,llogis,scale,shape,-3.236e-02
NCT01159600,llogis,scale,scale,1.266e-01
NCT01164501,llogis,shape,shape,1.025e-02
NCT01164501,llogis,shape,scale,-2.561e-02
NCT01164501,llogis,scale,shape,-2.561e-02
NCT01164501,llogis,scale,scale,8.290e-02
NCT01167881,llogis,shape,shape,3.747e-03
NCT01167881,llogis,shape,scale,-1.161e-02
NCT01167881,llogis,scale,shape,-1.161e-02
NCT01167881,llogis,scale,scale,5.084e-02
NCT01177813,llogis,shape,shape,1.017e-02
NCT01177813,llogis,shape,scale,-2.481e-02
NCT01177813,llogis,scale,shape,-2.481e-02
NCT01177813,llogis,scale,scale,7.499e-02
NCT01191268,llogis,shape,shape,5.752e-03
NCT01191268,llogis,shape,scale,-1.214e-02
NCT01191268,llogis,scale,shape,-1.214e-02
NCT01191268,llogis,scale,scale,3.832e-02
NCT01191944,llogis,shape,shape,2.653e-02
NCT01191944,llogis,shape,scale,-1.279e-01
NCT01191944,llogis,scale,shape,-1.279e-01
NCT01191944,llogis,scale,scale,7.250e-01
NCT01194830,llogis,shape,shape,1.638e-02
NCT01194830,llogis,shape,scale,-2.791e-02
NCT01194830,llogis,scale,shape,-2.791e-02
NCT01194830,llogis,scale,scale,9.012e-02
NCT01204294,llogis,shape,shape,2.688e-02
NCT01204294,llogis,shape,scale,-9.534e-02
NCT01204294,llogis,scale,shape,-9.534e-02
NCT01204294,llogis,scale,scale,3.878e-01
NCT01210001,llogis,shape,shape,2.481e-02
NCT01210001,llogis,shape,scale,-8.305e-02
NCT01210001,llogis,scale,shape,-8.305e-02
NCT01210001,llogis,scale,scale,3.273e-01
NCT01214239,llogis,shape,shape,3.264e-02
NCT01214239,llogis,shape,scale,-8.513e-02
NCT01214239,llogis,scale,shape,-8.513e-02
NCT01214239,llogis,scale,scale,2.716e-01
NCT01306214,llogis,shape,shape,1.067e-02
NCT01306214,llogis,shape,scale,-1.853e-02
NCT01306214,llogis,scale,shape,-1.853e-02
NCT01306214,llogis,scale,scale,4.479e-02
NCT01335464,llogis,shape,shape,7.831e-03
NCT01335464,llogis,shape,scale,-1.102e-02
NCT01335464,llogis,scale,shape,-1.102e-02
NCT01335464,llogis,scale,scale,2.668e-02
NCT01335477,llogis,shape,shape,7.408e-03
NCT01335477,llogis,shape,scale,-1.109e-02
NCT01335477,llogis,scale,shape,-1.109e-02
NCT01335477,llogis,scale,scale,2.832e-02
NCT01368081,llogis,shape,shape,1.004e-02
NCT01368081,llogis,shape,scale,-2.784e-02
NCT01368081,llogis,scale,shape,-2.784e-02
NCT01368081,llogis,scale,scale,9.169e-02
NCT01370005,llogis,shape,shape,2.773e-02
NCT01370005,llogis,shape,scale,-7.299e-02
NCT01370005,llogis,scale,shape,-7.299e-02
NCT01370005,llogis,scale,scale,2.131e-01
NCT01422876,llogis,shape,shape,4.885e-03
NCT01422876,llogis,shape,scale,-1.218e-02
NCT01422876,llogis,scale,shape,-1.218e-02
NCT01422876,llogis,scale,scale,4.075e-02
NCT01558271,llogis,shape,shape,2.132e-02
NCT01558271,llogis,shape,scale,-8.334e-02
NCT01558271,llogis,scale,shape,-8.334e-02
NCT01558271,llogis,scale,scale,3.933e-01
NCT01621178,llogis,shape,shape,9.703e-03
NCT01621178,llogis,shape,scale,-2.351e-02
NCT01621178,llogis,scale,shape,-2.351e-02
NCT01621178,llogis,scale,scale,8.167e-02
NCT01624259,llogis,shape,shape,2.608e-02
NCT01624259,llogis,shape,scale,-7.994e-02
NCT01624259,llogis,scale,shape,-7.994e-02
NCT01624259,llogis,scale,scale,2.808e-01
NCT01694771,llogis,shape,shape,1.248e-02
NCT01694771,llogis,shape,scale,-3.024e-02
NCT01694771,llogis,scale,shape,-3.024e-02
NCT01694771,llogis,scale,scale,8.485e-02
NCT01708902,llogis,shape,shape,1.460e-02
NCT01708902,llogis,shape,scale,-5.224e-02
NCT01708902,llogis,scale,shape,-5.224e-02
NCT01708902,llogis,scale,scale,2.251e-01
NCT01719003,llogis,shape,shape,7.956e-03
NCT01719003,llogis,shape,scale,-2.906e-02
NCT01719003,llogis,scale,shape,-2.906e-02
NCT01719003,llogis,scale,scale,1.275e-01
NCT01769378,llogis,shape,shape,3.952e-02
NCT01769378,llogis,shape,scale,-1.149e-01
NCT01769378,llogis,scale,shape,-1.149e-01
NCT01769378,llogis,scale,scale,3.965e-01
NCT02152371,llogis,shape,shape,3.508e-02
NCT02152371,llogis,shape,scale,-1.071e-01
NCT02152371,llogis,scale,shape,-1.071e-01
NCT02152371,llogis,scale,scale,3.945e-01
NCT02172287,llogis,shape,shape,7.708e-03
NCT02172287,llogis,shape,scale,-1.995e-02
NCT02172287,llogis,scale,shape,-1.995e-02
NCT02172287,llogis,scale,scale,7.954e-02
NCT02172586,llogis,shape,shape,1.962e-02
NCT02172586,llogis,shape,scale,-4.736e-02
NCT02172586,llogis,scale,shape,-4.736e-02
NCT02172586,llogis,scale,scale,1.507e-01
NCT02175355,llogis,shape,shape,1.497e-02
NCT02175355,llogis,shape,scale,-3.131e-02
NCT02175355,llogis,scale,shape,-3.131e-02
NCT02175355,llogis,scale,scale,7.511e-02
NCT02177344,llogis,shape,shape,1.204e-02
NCT02177344,llogis,shape,scale,-4.395e-02
NCT02177344,llogis,scale,shape,-4.395e-02
NCT02177344,llogis,scale,scale,2.061e-01
NCT02177396,llogis,shape,shape,2.974e-02
NCT02177396,llogis,shape,scale,-7.632e-02
NCT02177396,llogis,scale,shape,-7.632e-02
NCT02177396,llogis,scale,scale,2.301e-01
NCT02177461,llogis,shape,shape,8.085e-03
NCT02177461,llogis,shape,scale,-8.771e-03
NCT02177461,llogis,scale,shape,-8.771e-03
NCT02177461,llogis,scale,scale,2.108e-02
NCT02183064,llogis,shape,shape,8.548e-03
NCT02183064,llogis,shape,scale,-3.327e-02
NCT02183064,llogis,scale,shape,-3.327e-02
NCT02183064,llogis,scale,scale,1.555e-01
NCT02200653,llogis,shape,shape,5.415e-02
NCT02200653,llogis,shape,scale,-1.750e-01
NCT02200653,llogis,scale,shape,-1.750e-01
NCT02200653,llogis,scale,scale,6.312e-01
NCT02240680,llogis,shape,shape,3.995e-02
NCT02240680,llogis,shape,scale,-1.562e-01
NCT02240680,llogis,scale,shape,-1.562e-01
NCT02240680,llogis,scale,scale,7.248e-01
NCT02489968,llogis,shape,shape,3.676e-02
NCT02489968,llogis,shape,scale,-1.138e-01
NCT02489968,llogis,scale,shape,-1.138e-01
NCT02489968,llogis,scale,scale,4.049e-01
NCT02750410,llogis,shape,shape,5.535e-02
