ctgov,cause,dist,parameter1,parameter2,r
NCT00321854,Protocol Violation,gengamma,Q,Q,2.690e+01
NCT00321854,Voluntary Withdrawal,gengamma,mu,mu,7.234e+00
NCT00321854,Voluntary Withdrawal,gengamma,mu,sigma,1.062e-01
NCT00321854,Voluntary Withdrawal,gengamma,mu,Q,8.333e+00
NCT00321854,Voluntary Withdrawal,gengamma,sigma,mu,1.062e-01
NCT00321854,Voluntary Withdrawal,gengamma,sigma,sigma,2.573e-02
NCT00321854,Voluntary Withdrawal,gengamma,sigma,Q,-1.372e-02
NCT00321854,Voluntary Withdrawal,gengamma,Q,mu,8.333e+00
NCT00321854,Voluntary Withdrawal,gengamma,Q,sigma,-1.372e-02
NCT00321854,Voluntary Withdrawal,gengamma,Q,Q,1.055e+01
NCT00384930,Adverse Event,gengamma,mu,mu,2.886e+00
NCT00384930,Adverse Event,gengamma,mu,sigma,1.722e-01
NCT00384930,Adverse Event,gengamma,mu,Q,5.413e+00
NCT00384930,Adverse Event,gengamma,sigma,mu,1.722e-01
NCT00384930,Adverse Event,gengamma,sigma,sigma,2.020e-02
NCT00384930,Adverse Event,gengamma,sigma,Q,2.617e-01
NCT00384930,Adverse Event,gengamma,Q,mu,5.413e+00
NCT00384930,Adverse Event,gengamma,Q,sigma,2.617e-01
NCT00384930,Adverse Event,gengamma,Q,Q,1.068e+01
NCT00384930,Other/Miscellaneous,gengamma,mu,mu,2.557e+01
NCT00384930,Other/Miscellaneous,gengamma,mu,sigma,-9.130e-01
NCT00384930,Other/Miscellaneous,gengamma,mu,Q,2.475e+01
NCT00384930,Other/Miscellaneous,gengamma,sigma,mu,-9.130e-01
NCT00384930,Other/Miscellaneous,gengamma,sigma,sigma,7.395e-02
NCT00384930,Other/Miscellaneous,gengamma,sigma,Q,-1.128e+00
NCT00384930,Other/Miscellaneous,gengamma,Q,mu,2.475e+01
NCT00384930,Other/Miscellaneous,gengamma,Q,sigma,-1.128e+00
NCT00384930,Other/Miscellaneous,gengamma,Q,Q,2.549e+01
NCT00384930,PI/Sponsor Decision,gengamma,mu,mu,1.201e-02
NCT00384930,PI/Sponsor Decision,gengamma,mu,sigma,-9.010e-05
NCT00384930,PI/Sponsor Decision,gengamma,mu,Q,3.485e-02
NCT00384930,PI/Sponsor Decision,gengamma,sigma,mu,-9.010e-05
NCT00384930,PI/Sponsor Decision,gengamma,sigma,sigma,8.037e+00
NCT00384930,PI/Sponsor Decision,gengamma,sigma,Q,-3.104e+03
NCT00384930,PI/Sponsor Decision,gengamma,Q,mu,3.485e-02
NCT00384930,PI/Sponsor Decision,gengamma,Q,sigma,-3.104e+03
NCT00384930,PI/Sponsor Decision,gengamma,Q,Q,1.201e+06
NCT00384930,Protocol Violation,gengamma,mu,mu,1.245e-06
NCT00384930,Protocol Violation,gengamma,mu,sigma,-3.016e-04
NCT00384930,Protocol Violation,gengamma,mu,Q,9.830e-04
NCT00384930,Protocol Violation,gengamma,sigma,mu,-3.016e-04
NCT00384930,Protocol Violation,gengamma,sigma,sigma,7.362e-02
NCT00384930,Protocol Violation,gengamma,sigma,Q,-2.400e-01
NCT00384930,Protocol Violation,gengamma,Q,mu,9.830e-04
NCT00384930,Protocol Violation,gengamma,Q,sigma,-2.400e-01
NCT00384930,Protocol Violation,gengamma,Q,Q,8.028e-01
NCT00384930,Voluntary Withdrawal,gengamma,mu,mu,5.977e+00
NCT00384930,Voluntary Withdrawal,gengamma,mu,sigma,-4.545e-01
NCT00384930,Voluntary Withdrawal,gengamma,mu,Q,8.017e+00
NCT00384930,Voluntary Withdrawal,gengamma,sigma,mu,-4.545e-01
NCT00384930,Voluntary Withdrawal,gengamma,sigma,sigma,6.573e-02
NCT00384930,Voluntary Withdrawal,gengamma,sigma,Q,-7.573e-01
NCT00384930,Voluntary Withdrawal,gengamma,Q,mu,8.017e+00
NCT00384930,Voluntary Withdrawal,gengamma,Q,sigma,-7.573e-01
NCT00384930,Voluntary Withdrawal,gengamma,Q,Q,1.149e+01
NCT00402233,Adverse Event,gengamma,mu,mu,2.284e-01
NCT00402233,Adverse Event,gengamma,mu,sigma,3.254e-01
NCT00402233,Adverse Event,gengamma,mu,Q,6.278e+00
NCT00402233,Adverse Event,gengamma,sigma,mu,3.254e-01
NCT00402233,Adverse Event,gengamma,sigma,sigma,4.825e-01
NCT00402233,Adverse Event,gengamma,sigma,Q,8.936e+00
NCT00402233,Adverse Event,gengamma,Q,mu,6.278e+00
NCT00402233,Adverse Event,gengamma,Q,sigma,8.936e+00
NCT00402233,Adverse Event,gengamma,Q,Q,1.790e+02
NCT00466167,Adverse Event,gengamma,mu,mu,1.190e+01
NCT00466167,Adverse Event,gengamma,mu,sigma,-4.837e-01
NCT00466167,Adverse Event,gengamma,mu,Q,9.247e+00
NCT00466167,Adverse Event,gengamma,sigma,mu,-4.837e-01
NCT00466167,Adverse Event,gengamma,sigma,sigma,5.877e-02
NCT00466167,Adverse Event,gengamma,sigma,Q,-5.407e-01
NCT00466167,Adverse Event,gengamma,Q,mu,9.247e+00
NCT00466167,Adverse Event,gengamma,Q,sigma,-5.407e-01
NCT00466167,Adverse Event,gengamma,Q,Q,7.943e+00
NCT00466167,Voluntary Withdrawal,gengamma,mu,mu,2.173e+00
NCT00466167,Voluntary Withdrawal,gengamma,mu,sigma,4.462e+00
NCT00466167,Voluntary Withdrawal,gengamma,mu,Q,-6.216e+00
NCT00466167,Voluntary Withdrawal,gengamma,sigma,mu,4.462e+00
NCT00466167,Voluntary Withdrawal,gengamma,sigma,sigma,1.520e+01
NCT00466167,Voluntary Withdrawal,gengamma,sigma,Q,-2.218e+01
NCT00466167,Voluntary Withdrawal,gengamma,Q,mu,-6.216e+00
NCT00466167,Voluntary Withdrawal,gengamma,Q,sigma,-2.218e+01
NCT00466167,Voluntary Withdrawal,gengamma,Q,Q,3.248e+01
NCT00472199,Adverse Event,gengamma,mu,mu,3.536e+00
NCT00472199,Adverse Event,gengamma,mu,sigma,-1.237e-01
NCT00472199,Adverse Event,gengamma,mu,Q,2.721e+00
NCT00472199,Adverse Event,gengamma,sigma,mu,-1.237e-01
NCT00472199,Adverse Event,gengamma,sigma,sigma,2.444e-02
NCT00472199,Adverse Event,gengamma,sigma,Q,-1.563e-01
NCT00472199,Adverse Event,gengamma,Q,mu,2.721e+00
NCT00472199,Adverse Event,gengamma,Q,sigma,-1.563e-01
NCT00472199,Adverse Event,gengamma,Q,Q,2.326e+00
NCT00472199,Lack of Efficacy,gengamma,mu,mu,9.089e-01
NCT00472199,Lack of Efficacy,gengamma,mu,sigma,7.919e-01
NCT00472199,Lack of Efficacy,gengamma,mu,Q,1.286e+01
NCT00472199,Lack of Efficacy,gengamma,sigma,mu,7.919e-01
NCT00472199,Lack of Efficacy,gengamma,sigma,sigma,7.057e-01
NCT00472199,Lack of Efficacy,gengamma,sigma,Q,1.118e+01
NCT00472199,Lack of Efficacy,gengamma,Q,mu,1.286e+01
NCT00472199,Lack of Efficacy,gengamma,Q,sigma,1.118e+01
NCT00472199,Lack of Efficacy,gengamma,Q,Q,1.857e+02
NCT00472199,Voluntary Withdrawal,gengamma,mu,mu,1.944e+01
NCT00472199,Voluntary Withdrawal,gengamma,mu,sigma,8.917e-01
NCT00472199,Voluntary Withdrawal,gengamma,mu,Q,2.752e+01
NCT00472199,Voluntary Withdrawal,gengamma,sigma,mu,8.917e-01
NCT00472199,Voluntary Withdrawal,gengamma,sigma,sigma,8.052e-02
NCT00472199,Voluntary Withdrawal,gengamma,sigma,Q,9.786e-01
NCT00472199,Voluntary Withdrawal,gengamma,Q,mu,2.752e+01
NCT00472199,Voluntary Withdrawal,gengamma,Q,sigma,9.786e-01
NCT00472199,Voluntary Withdrawal,gengamma,Q,Q,4.175e+01
NCT00479401,Adverse Event,gengamma,mu,mu,1.768e+00
NCT00479401,Adverse Event,gengamma,mu,sigma,-3.485e-01
NCT00479401,Adverse Event,gengamma,mu,Q,1.762e+00
NCT00479401,Adverse Event,gengamma,sigma,mu,-3.485e-01
NCT00479401,Adverse Event,gengamma,sigma,sigma,1.561e-01
NCT00479401,Adverse Event,gengamma,sigma,Q,-5.956e-01
NCT00479401,Adverse Event,gengamma,Q,mu,1.762e+00
NCT00479401,Adverse Event,gengamma,Q,sigma,-5.956e-01
NCT00479401,Adverse Event,gengamma,Q,Q,2.479e+00
NCT00479401,Voluntary Withdrawal,gengamma,mu,mu,3.071e+00
NCT00479401,Voluntary Withdrawal,gengamma,mu,sigma,1.583e+00
NCT00479401,Voluntary Withdrawal,gengamma,mu,Q,-2.548e+00
NCT00479401,Voluntary Withdrawal,gengamma,sigma,mu,1.583e+00
NCT00479401,Voluntary Withdrawal,gengamma,sigma,sigma,1.072e+00
NCT00479401,Voluntary Withdrawal,gengamma,sigma,Q,-1.881e+00
NCT00479401,Voluntary Withdrawal,gengamma,Q,mu,-2.548e+00
NCT00479401,Voluntary Withdrawal,gengamma,Q,sigma,-1.881e+00
NCT00479401,Voluntary Withdrawal,gengamma,Q,Q,3.384e+00
NCT00525512,Adverse Event,gengamma,mu,mu,1.539e-01
NCT00525512,Adverse Event,gengamma,mu,sigma,-7.904e-01
NCT00525512,Adverse Event,gengamma,mu,Q,1.652e+00
NCT00525512,Adverse Event,gengamma,sigma,mu,-7.904e-01
NCT00525512,Adverse Event,gengamma,sigma,sigma,7.417e+00
NCT00525512,Adverse Event,gengamma,sigma,Q,-1.502e+01
NCT00525512,Adverse Event,gengamma,Q,mu,1.652e+00
NCT00525512,Adverse Event,gengamma,Q,sigma,-1.502e+01
NCT00525512,Adverse Event,gengamma,Q,Q,3.046e+01
NCT00525512,Lack of Efficacy,gengamma,mu,mu,3.329e-02
NCT00525512,Lack of Efficacy,gengamma,mu,sigma,1.353e-01
NCT00525512,Lack of Efficacy,gengamma,mu,Q,6.912e+00
NCT00525512,Lack of Efficacy,gengamma,sigma,mu,1.353e-01
NCT00525512,Lack of Efficacy,gengamma,sigma,sigma,6.171e-01
NCT00525512,Lack of Efficacy,gengamma,sigma,Q,3.004e+01
NCT00525512,Lack of Efficacy,gengamma,Q,mu,6.912e+00
NCT00525512,Lack of Efficacy,gengamma,Q,sigma,3.004e+01
NCT00525512,Lack of Efficacy,gengamma,Q,Q,1.612e+03
NCT00525512,Other/Miscellaneous,gengamma,mu,mu,2.716e-03
NCT00525512,Other/Miscellaneous,gengamma,mu,sigma,6.011e-03
NCT00525512,Other/Miscellaneous,gengamma,mu,Q,-1.602e-04
NCT00525512,Other/Miscellaneous,gengamma,sigma,mu,6.011e-03
NCT00525512,Other/Miscellaneous,gengamma,sigma,sigma,4.020e-02
NCT00525512,Other/Miscellaneous,gengamma,sigma,Q,-9.879e-04
NCT00525512,Other/Miscellaneous,gengamma,Q,mu,-1.602e-04
NCT00525512,Other/Miscellaneous,gengamma,Q,sigma,-9.879e-04
NCT00525512,Other/Miscellaneous,gengamma,Q,Q,2.436e-05
NCT00525512,Voluntary Withdrawal,gengamma,mu,mu,3.379e+00
NCT00525512,Voluntary Withdrawal,gengamma,mu,sigma,-7.479e-01
NCT00525512,Voluntary Withdrawal,gengamma,mu,Q,3.108e+00
NCT00525512,Voluntary Withdrawal,gengamma,sigma,mu,-7.479e-01
NCT00525512,Voluntary Withdrawal,gengamma,sigma,sigma,7.295e-01
NCT00525512,Voluntary Withdrawal,gengamma,sigma,Q,-2.297e+00
NCT00525512,Voluntary Withdrawal,gengamma,Q,mu,3.108e+00
NCT00525512,Voluntary Withdrawal,gengamma,Q,sigma,-2.297e+00
NCT00525512,Voluntary Withdrawal,gengamma,Q,Q,7.468e+00
NCT00563381,Adverse Event,gengamma,mu,mu,8.413e-02
NCT00563381,Adverse Event,gengamma,mu,sigma,-2.226e-02
NCT00563381,Adverse Event,gengamma,mu,Q,1.020e-01
NCT00563381,Adverse Event,gengamma,sigma,mu,-2.226e-02
NCT00563381,Adverse Event,gengamma,sigma,sigma,1.861e-02
NCT00563381,Adverse Event,gengamma,sigma,Q,-6.279e-02
NCT00563381,Adverse Event,gengamma,Q,mu,1.020e-01
NCT00563381,Adverse Event,gengamma,Q,sigma,-6.279e-02
NCT00563381,Adverse Event,gengamma,Q,Q,2.257e-01
NCT00563381,Lack of Efficacy,gengamma,mu,mu,5.340e-04
NCT00563381,Lack of Efficacy,gengamma,mu,sigma,-2.512e-06
NCT00563381,Lack of Efficacy,gengamma,mu,Q,2.758e-04
NCT00563381,Lack of Efficacy,gengamma,sigma,mu,-2.512e-06
NCT00563381,Lack of Efficacy,gengamma,sigma,sigma,4.429e+00
NCT00563381,Lack of Efficacy,gengamma,sigma,Q,-4.863e+02
NCT00563381,Lack of Efficacy,gengamma,Q,mu,2.758e-04
NCT00563381,Lack of Efficacy,gengamma,Q,sigma,-4.863e+02
NCT00563381,Lack of Efficacy,gengamma,Q,Q,5.340e+04
NCT00563381,Lost to Follow-up,gengamma,mu,mu,1.127e-06
NCT00563381,Lost to Follow-up,gengamma,mu,sigma,-2.688e-04
NCT00563381,Lost to Follow-up,gengamma,mu,Q,1.145e-03
NCT00563381,Lost to Follow-up,gengamma,sigma,mu,-2.688e-04
NCT00563381,Lost to Follow-up,gengamma,sigma,sigma,6.483e-02
NCT00563381,Lost to Follow-up,gengamma,sigma,Q,-2.765e-01
NCT00563381,Lost to Follow-up,gengamma,Q,mu,1.145e-03
NCT00563381,Lost to Follow-up,gengamma,Q,sigma,-2.765e-01
NCT00563381,Lost to Follow-up,gengamma,Q,Q,1.187e+00
NCT00563381,Other/Miscellaneous,gengamma,mu,mu,9.464e+03
NCT00563381,Other/Miscellaneous,gengamma,mu,sigma,6.017e+01
NCT00563381,Other/Miscellaneous,gengamma,mu,Q,-5.748e-01
NCT00563381,Other/Miscellaneous,gengamma,sigma,mu,6.017e+01
NCT00563381,Other/Miscellaneous,gengamma,sigma,sigma,3.902e-01
NCT00563381,Other/Miscellaneous,gengamma,sigma,Q,-2.394e-02
NCT00563381,Other/Miscellaneous,gengamma,Q,mu,-5.748e-01
NCT00563381,Other/Miscellaneous,gengamma,Q,sigma,-2.394e-02
NCT00563381,Other/Miscellaneous,gengamma,Q,Q,5.456e-02
NCT00563381,Protocol Violation,gengamma,mu,mu,2.726e+00
NCT00563381,Protocol Violation,gengamma,mu,sigma,-3.885e-01
NCT00563381,Protocol Violation,gengamma,mu,Q,2.529e+00
NCT00563381,Protocol Violation,gengamma,sigma,mu,-3.885e-01
NCT00563381,Protocol Violation,gengamma,sigma,sigma,1.000e-01
NCT00563381,Protocol Violation,gengamma,sigma,Q,-5.453e-01
NCT00563381,Protocol Violation,gengamma,Q,mu,2.529e+00
NCT00563381,Protocol Violation,gengamma,Q,sigma,-5.453e-01
NCT00563381,Protocol Violation,gengamma,Q,Q,3.115e+00
NCT00563381,Voluntary Withdrawal,gengamma,mu,mu,6.487e-01
NCT00563381,Voluntary Withdrawal,gengamma,mu,sigma,-4.607e-02
NCT00563381,Voluntary Withdrawal,gengamma,mu,Q,5.084e-01
NCT00563381,Voluntary Withdrawal,gengamma,sigma,mu,-4.607e-02
NCT00563381,Voluntary Withdrawal,gengamma,sigma,sigma,7.121e-03
NCT00563381,Voluntary Withdrawal,gengamma,sigma,Q,-5.073e-02
NCT00563381,Voluntary Withdrawal,gengamma,Q,mu,5.084e-01
NCT00563381,Voluntary Withdrawal,gengamma,Q,sigma,-5.073e-02
NCT00563381,Voluntary Withdrawal,gengamma,Q,Q,4.570e-01
NCT00601250,Adverse Event,gengamma,mu,mu,3.821e-06
NCT00601250,Adverse Event,gengamma,mu,sigma,-4.107e-04
NCT00601250,Adverse Event,gengamma,mu,Q,9.803e-04
NCT00601250,Adverse Event,gengamma,sigma,mu,-4.107e-04
NCT00601250,Adverse Event,gengamma,sigma,sigma,4.418e-02
NCT00601250,Adverse Event,gengamma,sigma,Q,-1.054e-01
NCT00601250,Adverse Event,gengamma,Q,mu,9.803e-04
NCT00601250,Adverse Event,gengamma,Q,sigma,-1.054e-01
NCT00601250,Adverse Event,gengamma,Q,Q,2.674e-01
NCT00601250,Other/Miscellaneous,gengamma,mu,mu,2.458e-06
NCT00601250,Other/Miscellaneous,gengamma,mu,sigma,-4.753e-04
NCT00601250,Other/Miscellaneous,gengamma,mu,Q,1.204e-03
NCT00601250,Other/Miscellaneous,gengamma,sigma,mu,-4.753e-04
NCT00601250,Other/Miscellaneous,gengamma,sigma,sigma,9.217e-02
NCT00601250,Other/Miscellaneous,gengamma,sigma,Q,-2.334e-01
NCT00601250,Other/Miscellaneous,gengamma,Q,mu,1.204e-03
NCT00601250,Other/Miscellaneous,gengamma,Q,sigma,-2.334e-01
NCT00601250,Other/Miscellaneous,gengamma,Q,Q,6.089e-01
NCT00601250,Voluntary Withdrawal,gengamma,mu,mu,7.862e-07
NCT00601250,Voluntary Withdrawal,gengamma,mu,sigma,5.805e-10
NCT00601250,Voluntary Withdrawal,gengamma,mu,Q,1.258e-11
NCT00601250,Voluntary Withdrawal,gengamma,sigma,mu,5.805e-10
NCT00601250,Voluntary Withdrawal,gengamma,sigma,sigma,7.886e-07
NCT00601250,Voluntary Withdrawal,gengamma,sigma,Q,-1.264e-11
NCT00601250,Voluntary Withdrawal,gengamma,Q,mu,1.258e-11
NCT00601250,Voluntary Withdrawal,gengamma,Q,sigma,-1.264e-11
NCT00601250,Voluntary Withdrawal,gengamma,Q,Q,7.889e-07
NCT00602472,Adverse Event,gengamma,mu,mu,1.233e+01
NCT00602472,Adverse Event,gengamma,mu,sigma,-8.300e+01
NCT00602472,Adverse Event,gengamma,mu,Q,1.742e+02
NCT00602472,Adverse Event,gengamma,sigma,mu,-8.300e+01
NCT00602472,Adverse Event,gengamma,sigma,sigma,6.001e+02
NCT00602472,Adverse Event,gengamma,sigma,Q,-1.257e+03
NCT00602472,Adverse Event,gengamma,Q,mu,1.742e+02
NCT00602472,Adverse Event,gengamma,Q,sigma,-1.257e+03
NCT00602472,Adverse Event,gengamma,Q,Q,2.634e+03
NCT00602472,Protocol Violation,gengamma,mu,mu,5.609e-06
NCT00602472,Protocol Violation,gengamma,mu,sigma,-1.589e-09
NCT00602472,Protocol Violation,gengamma,mu,Q,1.486e-04
NCT00602472,Protocol Violation,gengamma,sigma,mu,-1.589e-09
NCT00602472,Protocol Violation,gengamma,sigma,sigma,5.609e-06
NCT00602472,Protocol Violation,gengamma,sigma,Q,-5.996e-03
NCT00602472,Protocol Violation,gengamma,Q,mu,1.486e-04
NCT00602472,Protocol Violation,gengamma,Q,sigma,-5.996e-03
NCT00602472,Protocol Violation,gengamma,Q,Q,5.609e+02
NCT00602472,Voluntary Withdrawal,gengamma,mu,mu,5.654e+00
NCT00602472,Voluntary Withdrawal,gengamma,mu,sigma,1.461e-01
NCT00602472,Voluntary Withdrawal,gengamma,mu,Q,1.318e+01
NCT00602472,Voluntary Withdrawal,gengamma,sigma,mu,1.461e-01
NCT00602472,Voluntary Withdrawal,gengamma,sigma,sigma,2.921e-02
NCT00602472,Voluntary Withdrawal,gengamma,sigma,Q,1.241e-01
NCT00602472,Voluntary Withdrawal,gengamma,Q,mu,1.318e+01
NCT00602472,Voluntary Withdrawal,gengamma,Q,sigma,1.241e-01
NCT00602472,Voluntary Withdrawal,gengamma,Q,Q,3.288e+01
NCT00622284,Adverse Event,gengamma,mu,mu,9.078e-01
NCT00622284,Adverse Event,gengamma,mu,sigma,-1.302e-01
NCT00622284,Adverse Event,gengamma,mu,Q,8.313e-01
NCT00622284,Adverse Event,gengamma,sigma,mu,-1.302e-01
NCT00622284,Adverse Event,gengamma,sigma,sigma,3.418e-02
NCT00622284,Adverse Event,gengamma,sigma,Q,-1.649e-01
NCT00622284,Adverse Event,gengamma,Q,mu,8.313e-01
NCT00622284,Adverse Event,gengamma,Q,sigma,-1.649e-01
NCT00622284,Adverse Event,gengamma,Q,Q,9.032e-01
NCT00622284,Lack of Efficacy,gengamma,mu,mu,3.194e-01
NCT00622284,Lack of Efficacy,gengamma,mu,sigma,2.414e-01
NCT00622284,Lack of Efficacy,gengamma,mu,Q,-4.657e-01
NCT00622284,Lack of Efficacy,gengamma,sigma,mu,2.414e-01
NCT00622284,Lack of Efficacy,gengamma,sigma,sigma,5.057e-01
NCT00622284,Lack of Efficacy,gengamma,sigma,Q,-1.204e+00
NCT00622284,Lack of Efficacy,gengamma,Q,mu,-4.657e-01
NCT00622284,Lack of Efficacy,gengamma,Q,sigma,-1.204e+00
NCT00622284,Lack of Efficacy,gengamma,Q,Q,2.933e+00
NCT00622284,Lost to Follow-up,gengamma,mu,mu,2.843e+01
NCT00622284,Lost to Follow-up,gengamma,mu,sigma,-1.541e+00
NCT00622284,Lost to Follow-up,gengamma,mu,Q,3.657e+01
NCT00622284,Lost to Follow-up,gengamma,sigma,mu,-1.541e+00
NCT00622284,Lost to Follow-up,gengamma,sigma,sigma,1.387e-01
NCT00622284,Lost to Follow-up,gengamma,sigma,Q,-2.354e+00
NCT00622284,Lost to Follow-up,gengamma,Q,mu,3.657e+01
NCT00622284,Lost to Follow-up,gengamma,Q,sigma,-2.354e+00
NCT00622284,Lost to Follow-up,gengamma,Q,Q,4.963e+01
NCT00622284,Other/Miscellaneous,gengamma,mu,mu,5.054e+00
NCT00622284,Other/Miscellaneous,gengamma,mu,sigma,-1.829e-01
NCT00622284,Other/Miscellaneous,gengamma,mu,Q,5.621e+00
NCT00622284,Other/Miscellaneous,gengamma,sigma,mu,-1.829e-01
NCT00622284,Other/Miscellaneous,gengamma,sigma,sigma,2.223e-02
NCT00622284,Other/Miscellaneous,gengamma,sigma,Q,-2.821e-01
NCT00622284,Other/Miscellaneous,gengamma,Q,mu,5.621e+00
NCT00622284,Other/Miscellaneous,gengamma,Q,sigma,-2.821e-01
NCT00622284,Other/Miscellaneous,gengamma,Q,Q,6.685e+00
NCT00622284,Protocol Violation,gengamma,mu,mu,8.709e+01
NCT00622284,Protocol Violation,gengamma,mu,sigma,-4.711e+00
NCT00622284,Protocol Violation,gengamma,mu,Q,1.052e+02
NCT00622284,Protocol Violation,gengamma,sigma,mu,-4.711e+00
NCT00622284,Protocol Violation,gengamma,sigma,sigma,3.346e-01
NCT00622284,Protocol Violation,gengamma,sigma,Q,-6.269e+00
NCT00622284,Protocol Violation,gengamma,Q,mu,1.052e+02
NCT00622284,Protocol Violation,gengamma,Q,sigma,-6.269e+00
NCT00622284,Protocol Violation,gengamma,Q,Q,1.314e+02
NCT00622284,Voluntary Withdrawal,gengamma,mu,mu,5.167e+00
NCT00622284,Voluntary Withdrawal,gengamma,mu,sigma,1.684e+00
NCT00622284,Voluntary Withdrawal,gengamma,mu,Q,-2.476e+00
NCT00622284,Voluntary Withdrawal,gengamma,sigma,mu,1.684e+00
NCT00622284,Voluntary Withdrawal,gengamma,sigma,sigma,6.282e-01
NCT00622284,Voluntary Withdrawal,gengamma,sigma,Q,-9.780e-01
NCT00622284,Voluntary Withdrawal,gengamma,Q,mu,-2.476e+00
NCT00622284,Voluntary Withdrawal,gengamma,Q,sigma,-9.780e-01
NCT00622284,Voluntary Withdrawal,gengamma,Q,Q,1.559e+00
NCT00641043,Adverse Event,gengamma,mu,mu,4.872e+00
NCT00641043,Adverse Event,gengamma,mu,sigma,6.645e-01
NCT00641043,Adverse Event,gengamma,mu,Q,4.085e-03
NCT00641043,Adverse Event,gengamma,sigma,mu,6.645e-01
NCT00641043,Adverse Event,gengamma,sigma,sigma,9.547e-02
NCT00641043,Adverse Event,gengamma,sigma,Q,3.029e-03
NCT00641043,Adverse Event,gengamma,Q,mu,4.085e-03
NCT00641043,Adverse Event,gengamma,Q,sigma,3.029e-03
NCT00641043,Adverse Event,gengamma,Q,Q,1.265e-03
NCT00654381,Adverse Event,gengamma,mu,mu,1.046e+01
NCT00654381,Adverse Event,gengamma,mu,sigma,-2.020e+02
NCT00654381,Adverse Event,gengamma,mu,Q,5.290e+02
NCT00654381,Adverse Event,gengamma,sigma,mu,-2.020e+02
NCT00654381,Adverse Event,gengamma,sigma,sigma,3.921e+03
NCT00654381,Adverse Event,gengamma,sigma,Q,-1.027e+04
NCT00654381,Adverse Event,gengamma,Q,mu,5.290e+02
NCT00654381,Adverse Event,gengamma,Q,sigma,-1.027e+04
NCT00654381,Adverse Event,gengamma,Q,Q,2.688e+04
NCT00734474,Adverse Event,gengamma,mu,mu,1.376e-02
NCT00734474,Adverse Event,gengamma,mu,sigma,-2.598e-02
NCT00734474,Adverse Event,gengamma,mu,Q,5.668e-02
NCT00734474,Adverse Event,gengamma,sigma,mu,-2.598e-02
NCT00734474,Adverse Event,gengamma,sigma,sigma,8.208e-01
NCT00734474,Adverse Event,gengamma,sigma,Q,-1.462e+00
NCT00734474,Adverse Event,gengamma,Q,mu,5.668e-02
NCT00734474,Adverse Event,gengamma,Q,sigma,-1.462e+00
NCT00734474,Adverse Event,gengamma,Q,Q,2.615e+00
NCT00734474,Lack of Efficacy,gengamma,mu,mu,2.384e+01
NCT00734474,Lack of Efficacy,gengamma,mu,sigma,3.527e-01
NCT00734474,Lack of Efficacy,gengamma,mu,Q,3.606e+01
NCT00734474,Lack of Efficacy,gengamma,sigma,mu,3.527e-01
NCT00734474,Lack of Efficacy,gengamma,sigma,sigma,4.280e-02
NCT00734474,Lack of Efficacy,gengamma,sigma,Q,1.428e-01
NCT00734474,Lack of Efficacy,gengamma,Q,mu,3.606e+01
NCT00734474,Lack of Efficacy,gengamma,Q,sigma,1.428e-01
NCT00734474,Lack of Efficacy,gengamma,Q,Q,5.917e+01
NCT00734474,Lost to Follow-up,gengamma,mu,mu,3.085e+00
NCT00734474,Lost to Follow-up,gengamma,mu,sigma,-7.194e-01
NCT00734474,Lost to Follow-up,gengamma,mu,Q,4.362e+00
NCT00734474,Lost to Follow-up,gengamma,sigma,mu,-7.194e-01
NCT00734474,Lost to Follow-up,gengamma,sigma,sigma,3.453e-01
NCT00734474,Lost to Follow-up,gengamma,sigma,Q,-1.673e+00
NCT00734474,Lost to Follow-up,gengamma,Q,mu,4.362e+00
NCT00734474,Lost to Follow-up,gengamma,Q,sigma,-1.673e+00
NCT00734474,Lost to Follow-up,gengamma,Q,Q,8.611e+00
NCT00734474,Other/Miscellaneous,gengamma,mu,mu,4.254e+01
NCT00734474,Other/Miscellaneous,gengamma,mu,sigma,-3.615e+00
NCT00734474,Other/Miscellaneous,gengamma,mu,Q,4.544e+01
NCT00734474,Other/Miscellaneous,gengamma,sigma,mu,-3.615e+00
NCT00734474,Other/Miscellaneous,gengamma,sigma,sigma,4.641e-01
NCT00734474,Other/Miscellaneous,gengamma,sigma,Q,-4.760e+00
NCT00734474,Other/Miscellaneous,gengamma,Q,mu,4.544e+01
NCT00734474,Other/Miscellaneous,gengamma,Q,sigma,-4.760e+00
NCT00734474,Other/Miscellaneous,gengamma,Q,Q,5.374e+01
NCT00734474,PI/Sponsor Decision,gengamma,mu,mu,9.311e-06
NCT00734474,PI/Sponsor Decision,gengamma,mu,sigma,-5.684e-10
NCT00734474,PI/Sponsor Decision,gengamma,mu,Q,2.790e-03
NCT00734474,PI/Sponsor Decision,gengamma,sigma,mu,-5.684e-10
NCT00734474,PI/Sponsor Decision,gengamma,sigma,sigma,9.311e-06
NCT00734474,PI/Sponsor Decision,gengamma,sigma,Q,-1.897e-04
NCT00734474,PI/Sponsor Decision,gengamma,Q,mu,2.790e-03
NCT00734474,PI/Sponsor Decision,gengamma,Q,sigma,-1.897e-04
NCT00734474,PI/Sponsor Decision,gengamma,Q,Q,9.311e+02
NCT00734474,Protocol Violation,gengamma,mu,mu,2.410e-05
NCT00734474,Protocol Violation,gengamma,mu,sigma,-1.630e-03
NCT00734474,Protocol Violation,gengamma,mu,Q,-3.782e-05
NCT00734474,Protocol Violation,gengamma,sigma,mu,-1.630e-03
