ctgov,cause,dist,parameter,est,se
NCT01164501,Other/Miscellaneous,gengamma,mu,1.045e+01,3.641e+00
NCT01164501,Other/Miscellaneous,gengamma,sigma,-1.238e-02,5.302e+00
NCT01164501,Other/Miscellaneous,gengamma,Q,1.209e+00,6.457e+00
NCT01164501,Voluntary Withdrawal,gengamma,mu,1.166e+01,2.467e+00
NCT01164501,Voluntary Withdrawal,gengamma,sigma,1.143e+00,1.070e+00
NCT01164501,Voluntary Withdrawal,gengamma,Q,-2.554e-02,1.405e+00
NCT01167881,Adverse Event,gengamma,mu,9.516e+00,1.881e+00
NCT01167881,Adverse Event,gengamma,sigma,2.270e+00,1.009e-01
NCT01167881,Adverse Event,gengamma,Q,-5.955e+00,2.021e+00
NCT01167881,Lost to Follow-up,gengamma,mu,7.500e+00,1.736e-03
NCT01167881,Lost to Follow-up,gengamma,sigma,-3.779e+00,1.736e-03
NCT01167881,Lost to Follow-up,gengamma,Q,9.027e+01,1.736e+01
NCT01167881,Other/Miscellaneous,gengamma,mu,1.377e+01,2.182e+00
NCT01167881,Other/Miscellaneous,gengamma,sigma,2.317e+00,1.926e-01
NCT01167881,Other/Miscellaneous,gengamma,Q,-2.895e+00,1.739e+00
NCT01167881,Protocol Violation,gengamma,mu,1.171e+01,5.149e+00
NCT01167881,Protocol Violation,gengamma,sigma,3.196e+00,1.928e-01
NCT01167881,Protocol Violation,gengamma,Q,-1.268e+01,6.174e+00
NCT01167881,Voluntary Withdrawal,gengamma,mu,1.287e+01,1.911e+00
NCT01167881,Voluntary Withdrawal,gengamma,sigma,2.141e+00,2.067e-01
NCT01167881,Voluntary Withdrawal,gengamma,Q,-2.772e+00,1.793e+00
NCT01177813,Adverse Event,gengamma,mu,1.048e+01,3.078e+00
NCT01177813,Adverse Event,gengamma,sigma,1.834e-01,3.884e+00
NCT01177813,Adverse Event,gengamma,Q,1.237e+00,4.835e+00
NCT01177813,Lost to Follow-up,gengamma,mu,4.203e+00,5.989e-01
NCT01177813,Lost to Follow-up,gengamma,sigma,7.102e-01,5.902e-01
NCT01177813,Lost to Follow-up,gengamma,Q,-2.438e+01,1.619e+01
NCT01177813,Other/Miscellaneous,gengamma,mu,1.207e+01,5.895e+00
NCT01177813,Other/Miscellaneous,gengamma,sigma,9.162e-01,1.933e+00
NCT01177813,Other/Miscellaneous,gengamma,Q,4.015e-01,1.726e+00
NCT01177813,Voluntary Withdrawal,gengamma,mu,1.123e+01,1.830e+00
NCT01177813,Voluntary Withdrawal,gengamma,sigma,1.393e+00,9.644e-01
NCT01177813,Voluntary Withdrawal,gengamma,Q,-4.305e-01,1.737e+00
NCT01191268,Adverse Event,gengamma,mu,5.017e+00,1.738e+00
NCT01191268,Adverse Event,gengamma,sigma,1.911e+00,2.612e-01
NCT01191268,Adverse Event,gengamma,Q,-1.034e+01,4.180e+00
NCT01191268,Lost to Follow-up,gengamma,mu,7.417e+00,1.949e+00
NCT01191268,Lost to Follow-up,gengamma,sigma,1.958e+00,2.030e-01
NCT01191268,Lost to Follow-up,gengamma,Q,-9.575e+00,5.410e+00
NCT01191268,PI/Sponsor Decision,gengamma,mu,6.736e+00,2.933e+00
NCT01191268,PI/Sponsor Decision,gengamma,sigma,2.074e+00,2.880e-01
NCT01191268,PI/Sponsor Decision,gengamma,Q,-1.007e+01,6.686e+00
NCT01191268,Voluntary Withdrawal,gengamma,mu,9.892e+00,7.940e-01
NCT01191268,Voluntary Withdrawal,gengamma,sigma,1.452e+00,4.592e-01
NCT01191268,Voluntary Withdrawal,gengamma,Q,-1.035e+00,1.598e+00
NCT01191944,Adverse Event,gengamma,mu,7.258e+00,4.200e+00
NCT01191944,Adverse Event,gengamma,sigma,2.262e+00,1.868e-01
NCT01191944,Adverse Event,gengamma,Q,-5.643e+00,4.217e+00
NCT01194830,Lost to Follow-up,gengamma,mu,1.081e+01,2.625e+00
NCT01194830,Lost to Follow-up,gengamma,sigma,1.861e+00,8.240e-01
NCT01194830,Lost to Follow-up,gengamma,Q,-1.189e+00,3.188e+00
NCT01194830,Other/Miscellaneous,gengamma,mu,4.547e+00,1.720e+00
NCT01194830,Other/Miscellaneous,gengamma,sigma,1.395e+00,3.151e-01
NCT01194830,Other/Miscellaneous,gengamma,Q,-6.349e+00,3.655e+00
NCT01204294,Adverse Event,gengamma,mu,1.095e+01,5.248e+01
NCT01204294,Adverse Event,gengamma,sigma,-5.564e-01,1.894e+02
NCT01204294,Adverse Event,gengamma,Q,2.806e+00,5.316e+02
NCT01210001,Adverse Event,gengamma,mu,1.112e+01,1.974e+00
NCT01210001,Adverse Event,gengamma,sigma,1.655e+00,1.966e+00
NCT01210001,Adverse Event,gengamma,Q,-1.474e+00,7.080e+00
NCT01214239,Voluntary Withdrawal,gengamma,mu,8.624e+00,4.766e+01
NCT01214239,Voluntary Withdrawal,gengamma,sigma,-9.204e-01,2.339e+02
NCT01214239,Voluntary Withdrawal,gengamma,Q,2.929e+00,6.850e+02
NCT01306214,Adverse Event,gengamma,mu,9.516e+00,1.128e+00
NCT01306214,Adverse Event,gengamma,sigma,9.016e-01,9.934e-01
NCT01306214,Adverse Event,gengamma,Q,-2.162e-01,1.669e+00
NCT01306214,Protocol Violation,gengamma,mu,1.301e+01,9.747e+00
NCT01306214,Protocol Violation,gengamma,sigma,1.055e+00,3.373e+00
NCT01306214,Protocol Violation,gengamma,Q,4.651e-01,3.252e+00
NCT01306214,Voluntary Withdrawal,gengamma,mu,9.588e+00,1.440e+00
NCT01306214,Voluntary Withdrawal,gengamma,sigma,6.684e-01,9.366e-01
NCT01306214,Voluntary Withdrawal,gengamma,Q,2.612e-01,1.088e+00
NCT01335464,Adverse Event,gengamma,mu,7.522e+00,3.311e-01
NCT01335464,Adverse Event,gengamma,sigma,1.737e-01,6.982e-01
NCT01335464,Adverse Event,gengamma,Q,7.193e-01,8.952e-01
NCT01335464,Voluntary Withdrawal,gengamma,mu,3.930e+00,3.089e+00
NCT01335464,Voluntary Withdrawal,gengamma,sigma,1.162e+00,2.147e+00
NCT01335464,Voluntary Withdrawal,gengamma,Q,-2.443e+01,5.451e+01
NCT01335477,Adverse Event,gengamma,mu,7.646e+00,2.489e-01
NCT01335477,Adverse Event,gengamma,sigma,3.649e-01,3.738e-01
NCT01335477,Adverse Event,gengamma,Q,5.390e-01,5.058e-01
NCT01335477,Voluntary Withdrawal,gengamma,mu,1.472e+01,1.982e+00
NCT01335477,Voluntary Withdrawal,gengamma,sigma,2.017e+00,1.131e+00
NCT01335477,Voluntary Withdrawal,gengamma,Q,-1.124e+00,3.356e+00
NCT01368081,Adverse Event,gengamma,mu,9.316e+00,5.593e-01
NCT01368081,Adverse Event,gengamma,sigma,-3.851e-01,4.039e+00
NCT01368081,Adverse Event,gengamma,Q,1.701e+00,6.869e+00
NCT01368081,Other/Miscellaneous,gengamma,mu,3.443e+02,2.178e-02
NCT01368081,Other/Miscellaneous,gengamma,sigma,1.382e+00,2.594e+00
NCT01368081,Other/Miscellaneous,gengamma,Q,8.457e+01,2.178e+02
NCT01368081,Voluntary Withdrawal,gengamma,mu,8.895e+00,1.568e+00
NCT01368081,Voluntary Withdrawal,gengamma,sigma,-4.173e-01,5.369e+00
NCT01368081,Voluntary Withdrawal,gengamma,Q,1.374e+00,7.399e+00
NCT01370005,Adverse Event,gengamma,mu,4.729e+00,2.096e+00
NCT01370005,Adverse Event,gengamma,sigma,1.794e+00,3.917e-01
NCT01370005,Adverse Event,gengamma,Q,-1.439e+01,1.005e+01
NCT01422876,Adverse Event,gengamma,mu,1.018e+01,2.102e+00
NCT01422876,Adverse Event,gengamma,sigma,1.397e-01,3.145e+00
NCT01422876,Adverse Event,gengamma,Q,1.240e+00,3.965e+00
NCT01422876,Lost to Follow-up,gengamma,mu,1.049e+01,1.763e+01
NCT01422876,Lost to Follow-up,gengamma,sigma,-4.702e-01,7.674e+01
NCT01422876,Lost to Follow-up,gengamma,Q,2.428e+00,1.863e+02
NCT01422876,Other/Miscellaneous,gengamma,mu,1.187e+01,2.230e+00
NCT01422876,Other/Miscellaneous,gengamma,sigma,1.061e+00,8.915e-01
NCT01422876,Other/Miscellaneous,gengamma,Q,2.091e-01,9.984e-01
NCT01422876,Protocol Violation,gengamma,mu,2.685e+02,1.043e-03
NCT01422876,Protocol Violation,gengamma,sigma,5.279e+00,2.883e-01
NCT01422876,Protocol Violation,gengamma,Q,-1.647e+00,1.053e+00
NCT01422876,Voluntary Withdrawal,gengamma,mu,1.339e+01,2.572e+00
NCT01422876,Voluntary Withdrawal,gengamma,sigma,2.096e+00,6.560e-01
NCT01422876,Voluntary Withdrawal,gengamma,Q,-2.176e+00,3.583e+00
NCT01558271,Adverse Event,gengamma,mu,9.535e+00,1.067e+00
NCT01558271,Adverse Event,gengamma,sigma,1.040e+00,1.853e+00
NCT01558271,Adverse Event,gengamma,Q,-9.780e-01,4.912e+00
NCT01558271,Voluntary Withdrawal,gengamma,mu,1.134e+01,7.410e+00
NCT01558271,Voluntary Withdrawal,gengamma,sigma,-2.557e-02,3.161e+01
NCT01558271,Voluntary Withdrawal,gengamma,Q,2.138e+00,6.759e+01
NCT01621178,Adverse Event,gengamma,mu,6.721e+00,1.600e-03
NCT01621178,Adverse Event,gengamma,sigma,-3.135e+00,1.600e-03
NCT01621178,Adverse Event,gengamma,Q,4.851e+01,1.600e+01
NCT01621178,Other/Miscellaneous,gengamma,mu,4.386e+00,2.692e-01
NCT01621178,Other/Miscellaneous,gengamma,sigma,5.200e-01,4.991e-01
NCT01621178,Other/Miscellaneous,gengamma,Q,-3.605e+01,1.761e+01
NCT01621178,PI/Sponsor Decision,gengamma,mu,3.533e+00,5.791e-01
NCT01621178,PI/Sponsor Decision,gengamma,sigma,7.143e-01,1.271e+00
NCT01621178,PI/Sponsor Decision,gengamma,Q,-4.885e+01,5.953e+01
NCT01621178,Voluntary Withdrawal,gengamma,mu,9.116e+00,2.471e+00
NCT01621178,Voluntary Withdrawal,gengamma,sigma,2.018e+00,1.317e-01
NCT01621178,Voluntary Withdrawal,gengamma,Q,-2.961e+00,1.943e+00
NCT01624259,Adverse Event,gengamma,mu,6.338e+00,2.366e+00
NCT01624259,Adverse Event,gengamma,sigma,1.956e+00,2.405e-01
NCT01624259,Adverse Event,gengamma,Q,-8.877e+00,5.387e+00
NCT01624259,Voluntary Withdrawal,gengamma,mu,9.721e+00,1.358e+00
NCT01624259,Voluntary Withdrawal,gengamma,sigma,-2.169e-01,1.223e-01
NCT01624259,Voluntary Withdrawal,gengamma,Q,1.500e+00,2.704e-01
NCT01694771,Adverse Event,gengamma,mu,8.046e+00,6.372e-01
NCT01694771,Adverse Event,gengamma,sigma,-4.007e-01,1.135e-01
NCT01694771,Adverse Event,gengamma,Q,1.654e+00,9.479e-02
NCT01694771,Other/Miscellaneous,gengamma,mu,5.506e+02,5.094e-04
NCT01694771,Other/Miscellaneous,gengamma,sigma,5.978e+00,2.819e-01
NCT01694771,Other/Miscellaneous,gengamma,Q,-1.491e+00,9.821e-01
NCT01694771,Protocol Violation,gengamma,mu,4.500e+02,6.579e-04
NCT01694771,Protocol Violation,gengamma,sigma,5.627e+00,2.928e-01
NCT01694771,Protocol Violation,gengamma,Q,-1.001e+00,8.673e-01
NCT01694771,Voluntary Withdrawal,gengamma,mu,9.480e+00,2.948e+00
NCT01694771,Voluntary Withdrawal,gengamma,sigma,5.854e-01,1.269e+00
NCT01694771,Voluntary Withdrawal,gengamma,Q,4.069e-01,1.107e+00
NCT01708902,Adverse Event,gengamma,mu,1.097e+01,3.405e+00
NCT01708902,Adverse Event,gengamma,sigma,2.221e+00,3.051e-01
NCT01708902,Adverse Event,gengamma,Q,-3.243e+00,3.254e+00
NCT01708902,Voluntary Withdrawal,gengamma,mu,5.514e+00,1.362e-03
NCT01708902,Voluntary Withdrawal,gengamma,sigma,-3.664e+00,2.180e-01
NCT01708902,Voluntary Withdrawal,gengamma,Q,7.865e+01,2.720e-03
NCT01719003,Adverse Event,gengamma,mu,1.319e+01,3.998e+00
NCT01719003,Adverse Event,gengamma,sigma,2.285e+00,5.772e-01
NCT01719003,Adverse Event,gengamma,Q,-2.534e+00,4.087e+00
NCT01719003,Lost to Follow-up,gengamma,mu,1.408e+01,2.846e+01
NCT01719003,Lost to Follow-up,gengamma,sigma,-3.452e-01,6.961e+01
NCT01719003,Lost to Follow-up,gengamma,Q,3.292e+00,2.292e+02
NCT01719003,Other/Miscellaneous,gengamma,mu,2.361e+02,1.128e-03
NCT01719003,Other/Miscellaneous,gengamma,sigma,5.117e+00,2.742e-01
NCT01719003,Other/Miscellaneous,gengamma,Q,-1.496e+00,9.571e-01
NCT01719003,Protocol Violation,gengamma,mu,3.267e+02,9.402e-04
NCT01719003,Protocol Violation,gengamma,sigma,5.460e+00,3.134e-01
NCT01719003,Protocol Violation,gengamma,Q,-1.638e+00,1.139e+00
NCT01719003,Voluntary Withdrawal,gengamma,mu,1.287e+01,1.256e+00
NCT01719003,Voluntary Withdrawal,gengamma,sigma,1.817e+00,1.073e+00
NCT01719003,Voluntary Withdrawal,gengamma,Q,-1.036e+00,2.957e+00
NCT01769378,Adverse Event,gengamma,mu,2.846e+00,3.157e-01
NCT01769378,Adverse Event,gengamma,sigma,5.364e-01,7.913e-01
NCT01769378,Adverse Event,gengamma,Q,-4.067e+01,2.973e+01
NCT01769378,Voluntary Withdrawal,gengamma,mu,4.257e+00,2.570e+00
NCT01769378,Voluntary Withdrawal,gengamma,sigma,1.391e+00,8.858e-01
NCT01769378,Voluntary Withdrawal,gengamma,Q,-1.525e+01,1.751e+01
NCT02152371,Voluntary Withdrawal,gengamma,mu,1.052e+02,6.624e+00
NCT02152371,Voluntary Withdrawal,gengamma,sigma,1.290e+00,9.369e-04
NCT02152371,Voluntary Withdrawal,gengamma,Q,2.691e+01,6.626e+00
NCT02172287,Adverse Event,gengamma,mu,8.362e+00,9.060e-01
NCT02172287,Adverse Event,gengamma,sigma,1.511e+00,2.808e-01
NCT02172287,Adverse Event,gengamma,Q,-9.633e-01,1.123e+00
NCT02172287,Voluntary Withdrawal,gengamma,mu,1.200e+01,6.390e+00
NCT02172287,Voluntary Withdrawal,gengamma,sigma,2.454e+00,3.384e-01
NCT02172287,Voluntary Withdrawal,gengamma,Q,-3.339e+00,4.615e+00
NCT02172586,Voluntary Withdrawal,gengamma,mu,1.055e+01,2.888e+00
NCT02172586,Voluntary Withdrawal,gengamma,sigma,1.040e+00,1.280e+00
NCT02172586,Voluntary Withdrawal,gengamma,Q,1.775e-01,1.517e+00
NCT02175355,Adverse Event,gengamma,mu,3.470e+00,1.019e+00
NCT02175355,Adverse Event,gengamma,sigma,1.555e+00,3.022e-01
NCT02175355,Adverse Event,gengamma,Q,-1.656e+01,7.224e+00
NCT02175355,Protocol Violation,gengamma,mu,5.688e+00,8.754e-01
NCT02175355,Protocol Violation,gengamma,sigma,1.142e+00,2.602e-01
NCT02175355,Protocol Violation,gengamma,Q,-3.667e+00,2.817e+00
NCT02177344,Adverse Event,gengamma,mu,6.132e+00,1.634e+00
NCT02177344,Adverse Event,gengamma,sigma,2.019e+00,1.574e-01
NCT02177344,Adverse Event,gengamma,Q,-6.984e+00,2.514e+00
NCT02177344,Other/Miscellaneous,gengamma,mu,1.029e+01,3.834e+00
NCT02177344,Other/Miscellaneous,gengamma,sigma,2.408e+00,1.974e-01
NCT02177344,Other/Miscellaneous,gengamma,Q,-4.457e+00,3.376e+00
NCT02177344,Voluntary Withdrawal,gengamma,mu,6.908e+00,3.200e+00
NCT02177344,Voluntary Withdrawal,gengamma,sigma,2.477e+00,2.111e-01
NCT02177344,Voluntary Withdrawal,gengamma,Q,-8.974e+00,4.427e+00
NCT02177396,Adverse Event,gengamma,mu,4.536e+00,1.179e-03
NCT02177396,Adverse Event,gengamma,sigma,-4.217e+00,2.941e-01
NCT02177396,Adverse Event,gengamma,Q,1.170e+02,2.443e-03
NCT02177396,Lack of Efficacy,gengamma,mu,4.572e+00,2.905e+00
NCT02177396,Lack of Efficacy,gengamma,sigma,1.550e+00,5.597e-01
NCT02177396,Lack of Efficacy,gengamma,Q,-1.096e+01,1.234e+01
NCT02177461,Adverse Event,gengamma,mu,9.716e+00,3.803e+00
NCT02177461,Adverse Event,gengamma,sigma,1.936e+00,4.534e-01
NCT02177461,Adverse Event,gengamma,Q,-2.660e+00,4.166e+00
NCT02177461,Lack of Efficacy,gengamma,mu,4.776e+00,3.433e-01
NCT02177461,Lack of Efficacy,gengamma,sigma,3.396e-01,2.116e-01
NCT02177461,Lack of Efficacy,gengamma,Q,-6.983e+00,2.272e+00
NCT02177461,Protocol Violation,gengamma,mu,1.204e+01,4.329e+00
NCT02177461,Protocol Violation,gengamma,sigma,1.383e+00,1.695e+00
NCT02177461,Protocol Violation,gengamma,Q,-8.859e-02,2.397e+00
NCT02177461,Voluntary Withdrawal,gengamma,mu,8.019e+00,5.649e-01
NCT02177461,Voluntary Withdrawal,gengamma,sigma,1.178e+00,4.076e-01
NCT02177461,Voluntary Withdrawal,gengamma,Q,-6.667e-01,1.127e+00
NCT02183064,Adverse Event,gengamma,mu,8.304e+00,3.016e+00
NCT02183064,Adverse Event,gengamma,sigma,2.507e+00,1.347e-01
NCT02183064,Adverse Event,gengamma,Q,-7.249e+00,3.356e+00
NCT02183064,Other/Miscellaneous,gengamma,mu,4.667e+00,1.317e+00
NCT02183064,Other/Miscellaneous,gengamma,sigma,2.067e+00,3.251e-01
NCT02183064,Other/Miscellaneous,gengamma,Q,-2.133e+01,8.137e+00
NCT02183064,Voluntary Withdrawal,gengamma,mu,1.079e+01,4.162e+00
NCT02183064,Voluntary Withdrawal,gengamma,sigma,2.534e+00,1.498e-01
NCT02183064,Voluntary Withdrawal,gengamma,Q,-5.055e+00,3.648e+00
NCT02200653,Adverse Event,gengamma,mu,8.677e+00,3.490e+01
NCT02200653,Adverse Event,gengamma,sigma,-1.306e+00,1.884e+02
NCT02200653,Adverse Event,gengamma,Q,5.084e+00,9.580e+02
NCT02240680,Adverse Event,gengamma,mu,1.125e+01,3.642e+00
NCT02240680,Adverse Event,gengamma,sigma,1.005e+00,1.503e+00
NCT02240680,Adverse Event,gengamma,Q,3.859e-01,1.597e+00
NCT02489968,Adverse Event,gengamma,mu,6.152e+00,1.982e-03
NCT02489968,Adverse Event,gengamma,sigma,-3.771e+00,1.982e-03
NCT02489968,Adverse Event,gengamma,Q,7.830e+01,1.982e+01
NCT02750410,Adverse Event,gengamma,mu,8.662e+00,8.675e-01
NCT02750410,Adverse Event,gengamma,sigma,-4.829e-01,2.394e-01
NCT02750410,Adverse Event,gengamma,Q,1.935e+00,9.363e-02
NCT00034840,Lack of Efficacy,gompertz,shape,3.014e-02,1.802e-02
NCT00034840,Lack of Efficacy,gompertz,rate,-8.703e+00,7.197e-01
NCT00051558,Adverse Event,gompertz,shape,-1.714e-03,5.184e-04
NCT00051558,Adverse Event,gompertz,rate,-8.163e+00,2.298e-01
NCT00051558,Lost to Follow-up,gompertz,shape,-1.831e-06,6.898e-04
NCT00051558,Lost to Follow-up,gompertz,rate,-1.004e+01,4.829e-01
NCT00051558,Other/Miscellaneous,gompertz,shape,-1.626e-03,6.287e-04
NCT00051558,Other/Miscellaneous,gompertz,rate,-8.599e+00,2.831e-01
NCT00051558,PI/Sponsor Decision,gompertz,shape,4.257e-04,7.821e-04
NCT00051558,PI/Sponsor Decision,gompertz,rate,-1.049e+01,5.707e-01
NCT00051558,Voluntary Withdrawal,gompertz,shape,-2.172e-04,3.183e-04
NCT00051558,Voluntary Withdrawal,gompertz,rate,-8.397e+00,2.179e-01
NCT00125918,Adverse Event,gompertz,shape,-3.847e-04,4.474e-03
NCT00125918,Adverse Event,gompertz,rate,-6.808e+00,2.864e-01
NCT00152984,Adverse Event,gompertz,shape,-8.387e-03,1.163e-02
NCT00152984,Adverse Event,gompertz,rate,-7.771e+00,5.264e-01
NCT00153023,Adverse Event,gompertz,shape,-4.165e-03,1.079e-03
NCT00153023,Adverse Event,gompertz,rate,-7.430e+00,1.784e-01
NCT00153023,Other/Miscellaneous,gompertz,shape,-1.616e-02,3.721e-03
NCT00153023,Other/Miscellaneous,gompertz,rate,-7.752e+00,3.044e-01
NCT00153023,Protocol Violation,gompertz,shape,-2.448e-03,2.428e-03
NCT00153023,Protocol Violation,gompertz,rate,-9.378e+00,4.419e-01
NCT00153023,Voluntary Withdrawal,gompertz,shape,-8.828e-03,2.254e-03
NCT00153023,Voluntary Withdrawal,gompertz,rate,-8.018e+00,2.815e-01
NCT00153088,Adverse Event,gompertz,shape,-1.733e-03,7.940e-04
NCT00153088,Adverse Event,gompertz,rate,-7.962e+00,2.202e-01
NCT00153088,Voluntary Withdrawal,gompertz,shape,1.395e-04,1.528e-03
NCT00153088,Voluntary Withdrawal,gompertz,rate,-9.989e+00,5.175e-01
NCT00168831,Adverse Event,gompertz,shape,-4.693e-03,8.796e-04
NCT00168831,Adverse Event,gompertz,rate,-6.844e+00,1.321e-01
NCT00168831,Lost to Follow-up,gompertz,shape,-1.643e-03,2.755e-03
NCT00168831,Lost to Follow-up,gompertz,rate,-9.666e+00,4.845e-01
NCT00168831,Other/Miscellaneous,gompertz,shape,-5.910e-03,2.957e-03
NCT00168831,Other/Miscellaneous,gompertz,rate,-9.052e+00,4.153e-01
NCT00168831,Protocol Violation,gompertz,shape,-1.078e-02,2.637e-03
NCT00168831,Protocol Violation,gompertz,rate,-7.973e+00,2.813e-01
NCT00168831,Voluntary Withdrawal,gompertz,shape,-4.786e-03,1.747e-03
NCT00168831,Voluntary Withdrawal,gompertz,rate,-8.200e+00,2.611e-01
NCT00168844,Adverse Event,gompertz,shape,-3.567e-03,1.012e-03
NCT00168844,Adverse Event,gompertz,rate,-7.341e+00,1.628e-01
NCT00168844,Lost to Follow-up,gompertz,shape,-3.777e-03,2.396e-03
NCT00168844,Lost to Follow-up,gompertz,rate,-9.027e+00,3.812e-01
NCT00168844,Other/Miscellaneous,gompertz,shape,-4.891e-03,2.409e-03
NCT00168844,Other/Miscellaneous,gompertz,rate,-8.840e+00,3.611e-01
NCT00168844,Voluntary Withdrawal,gompertz,shape,-1.270e-02,2.489e-03
NCT00168844,Voluntary Withdrawal,gompertz,rate,-7.550e+00,2.410e-01
NCT00168857,Adverse Event,gompertz,shape,-5.910e-05,9.715e-04
NCT00168857,Adverse Event,gompertz,rate,-7.971e+00,1.994e-01
NCT00168857,Lost to Follow-up,gompertz,shape,-1.167e-03,2.758e-03
NCT00168857,Lost to Follow-up,gompertz,rate,-9.852e+00,5.357e-01
NCT00168857,Other/Miscellaneous,gompertz,shape,-2.309e-02,5.619e-03
NCT00168857,Other/Miscellaneous,gompertz,rate,-7.594e+00,3.333e-01
NCT00168857,Protocol Violation,gompertz,shape,6.180e-04,1.787e-03
NCT00168857,Protocol Violation,gompertz,rate,-9.314e+00,3.785e-01
NCT00168857,Voluntary Withdrawal,gompertz,shape,-3.288e-03,2.482e-03
NCT00168857,Voluntary Withdrawal,gompertz,rate,-9.241e+00,4.304e-01
NCT00239421,Adverse Event,gompertz,shape,-7.756e-03,2.055e-02
NCT00239421,Adverse Event,gompertz,rate,-7.366e+00,5.039e-01
NCT00274014,Adverse Event,gompertz,shape,-4.030e-03,1.017e-03
NCT00274014,Adverse Event,gompertz,rate,-7.309e+00,1.602e-01
NCT00274014,Lost to Follow-up,gompertz,shape,-1.341e-03,1.781e-03
NCT00274014,Lost to Follow-up,gompertz,rate,-8.917e+00,3.230e-01
NCT00274014,Other/Miscellaneous,gompertz,shape,5.193e-04,1.586e-03
NCT00274014,Other/Miscellaneous,gompertz,rate,-9.018e+00,3.142e-01
NCT00274014,Protocol Violation,gompertz,shape,-2.882e-03,2.073e-03
NCT00274014,Protocol Violation,gompertz,rate,-8.941e+00,3.473e-01
NCT00274014,Voluntary Withdrawal,gompertz,shape,-3.157e-03,1.538e-03
NCT00274014,Voluntary Withdrawal,gompertz,rate,-8.294e+00,2.539e-01
NCT00274053,Adverse Event,gompertz,shape,-4.654e-03,2.028e-03
NCT00274053,Adverse Event,gompertz,rate,-7.449e+00,2.564e-01
NCT00274053,Other/Miscellaneous,gompertz,shape,-6.906e-03,3.786e-03
NCT00274053,Other/Miscellaneous,gompertz,rate,-8.378e+00,4.343e-01
NCT00274053,Protocol Violation,gompertz,shape,-4.090e-03,2.905e-03
NCT00274053,Protocol Violation,gompertz,rate,-8.248e+00,3.761e-01
NCT00274053,Voluntary Withdrawal,gompertz,shape,-7.499e-03,2.878e-03
NCT00274053,Voluntary Withdrawal,gompertz,rate,-7.745e+00,3.217e-01
NCT00274079,Adverse Event,gompertz,shape,-1.104e-02,7.502e-03
NCT00274079,Adverse Event,gompertz,rate,-6.396e+00,3.086e-01
NCT00274547,Adverse Event,gompertz,shape,-8.526e-03,1.277e-03
NCT00274547,Adverse Event,gompertz,rate,-6.383e+00,1.042e-01
NCT00274547,Lost to Follow-up,gompertz,shape,6.645e-03,6.083e-03
NCT00274547,Lost to Follow-up,gompertz,rate,-1.092e+01,7.199e-01
NCT00274547,Other/Miscellaneous,gompertz,shape,-1.918e-02,5.179e-03
NCT00274547,Other/Miscellaneous,gompertz,rate,-8.172e+00,3.063e-01
NCT00274547,Protocol Violation,gompertz,shape,-1.654e-03,3.163e-03
NCT00274547,Protocol Violation,gompertz,rate,-8.849e+00,3.113e-01
NCT00274547,Voluntary Withdrawal,gompertz,shape,-7.820e-03,2.564e-03
NCT00274547,Voluntary Withdrawal,gompertz,rate,-7.844e+00,2.134e-01
NCT00274560,Adverse Event,gompertz,shape,-1.134e-02,6.143e-03
NCT00274560,Adverse Event,gompertz,rate,-6.594e+00,2.614e-01
NCT00274560,Voluntary Withdrawal,gompertz,shape,3.935e-03,1.166e-02
NCT00274560,Voluntary Withdrawal,gompertz,rate,-8.544e+00,5.921e-01
NCT00274573,Adverse Event,gompertz,shape,-2.715e-02,3.304e-03
NCT00274573,Adverse Event,gompertz,rate,-5.482e+00,1.111e-01
NCT00274573,Other/Miscellaneous,gompertz,shape,7.542e-04,7.265e-03
NCT00274573,Other/Miscellaneous,gompertz,rate,-8.296e+00,3.500e-01
NCT00274573,Protocol Violation,gompertz,shape,-4.511e-03,9.638e-03
NCT00274573,Protocol Violation,gompertz,rate,-8.630e+00,4.369e-01
NCT00274573,Voluntary Withdrawal,gompertz,shape,-1.327e-02,8.029e-03
NCT00274573,Voluntary Withdrawal,gompertz,rate,-7.877e+00,3.261e-01
NCT00274599,Adverse Event,gompertz,shape,-1.607e-02,6.405e-03
NCT00274599,Adverse Event,gompertz,rate,-7.027e+00,2.877e-01
NCT00274599,Lack of Efficacy,gompertz,shape,2.399e-03,9.975e-03
NCT00274599,Lack of Efficacy,gompertz,rate,-8.866e+00,5.828e-01
NCT00274599,Lost to Follow-up,gompertz,shape,-1.477e-02,1.169e-02
NCT00274599,Lost to Follow-up,gompertz,rate,-8.298e+00,5.358e-01
NCT00274599,Other/Miscellaneous,gompertz,shape,-5.317e-02,1.849e-02
NCT00274599,Other/Miscellaneous,gompertz,rate,-7.300e+00,4.578e-01
NCT00274599,Voluntary Withdrawal,gompertz,shape,7.697e-03,8.200e-03
NCT00274599,Voluntary Withdrawal,gompertz,rate,-8.741e+00,5.101e-01
NCT00274612,Adverse Event,gompertz,shape,-9.030e-03,5.833e-03
NCT00274612,Adverse Event,gompertz,rate,-7.247e+00,2.963e-01
NCT00274612,Lack of Efficacy,gompertz,shape,-3.779e-03,1.082e-02
NCT00274612,Lack of Efficacy,gompertz,rate,-8.760e+00,5.931e-01
NCT00274612,Other/Miscellaneous,gompertz,shape,5.292e-04,8.221e-03
NCT00274612,Other/Miscellaneous,gompertz,rate,-8.437e+00,4.781e-01
